code,emis_code,region,zone,woreda,school_name,rural,SubmissionDate,starttime,endtime,surveyday,deviceid,SEC0.2,repaced,SEC1.1,SEC1.2,SEC1.3,SEC1.3a,SEC1.4,SEC1.5,SEC1.6,SEC1.7,SEC1.8,SEC1.9,SEC1.10,SEC1.11,SEC1.12.1,SEC1.12.1_1,SEC1.12.1_2,SEC1.12.1_3,SEC1.12.1_4,SEC1.12.1_5,SEC1.12.1_7,SEC1.12.1_8,SEC1.12.1_9,SEC1.12.1_10,SEC1.12.1_97,SEC1.12.1_oth,SEC1.12.2,SEC1.12.2_1,SEC1.12.2_2,SEC1.12.2_3,SEC1.12.2_4,SEC1.12.2_5,SEC1.12.2_7,SEC1.12.2_8,SEC1.12.2_9,SEC1.12.2_10,SEC1.12.2_97,SEC1.12.2_oth,SEC1.12.3,SEC1.12.3_1,SEC1.12.3_2,SEC1.12.3_3,SEC1.12.3_4,SEC1.12.3_5,SEC1.12.3_7,SEC1.12.3_8,SEC1.12.3_9,SEC1.12.3_10,SEC1.12.3_97,SEC1.12.3_oth,SEC1.13,SEC1.14.1,SEC1.14.2,SEC1.15,SEC1.16.1,SEC1.16.2,SEC1.16.3,F5,F6,F7,F8,SEC2.total,SEC2.girls_total,SEC2.boys_total,SEC2.girls_math,SEC2.boys_math,SEC2.girls_eng,SEC2.boys_eng,SEC2.girls_lang,SEC2.boys_lang,gps_point-Latitude,gps_point-Longitude,gps_point-Altitude,gps_point-Accuracy,instanceID,formdef_version,KEY
96617,S0407160432,OROMIA,Harargee Lixaa,odaa bultuum,shunqoo,Rural,"12/31/2025, 7:57:36 PM","12/29/2025, 12:34:16 AM","12/31/2025, 5:22:37 PM",12/29/2025,260fdb5d4cc800d3,1,Habaal qaasim,0,0,1,0,0,0,1,1,0,8,0,0,4 5,0,0,0,1,1,0,0,0,0,0,NA,4 5,0,0,0,1,1,0,0,0,0,0,NA,4 5 7,0,0,0,1,1,1,0,0,0,0,NA,10,14:30:46,6:45:56,1,0,NA,NA,1175,823,9,9,85,90,80,75,70,65,72,78,85,8.5766913,41.1467528,1567.1,4.7,uuid:9438a491-def7-45d9-95bf-47a0f08e9954,2512142209,uuid:9438a491-def7-45d9-95bf-47a0f08e9954
96573,S0407160632,OROMIA,Harargee Lixaa,odaa bultuum,ganda caffee,Rural,"12/20/2025, 9:16:06 AM","12/19/2025, 12:12:30 PM","12/19/2025, 12:27:19 PM",12/19/2025,260fdb5d4cc800d3,0,NA,1,1,0,NA,0,0,1,1,1,22,0,0,4 5,0,0,0,1,1,0,0,0,0,0,NA,4 5,0,0,0,1,1,0,0,0,0,0,NA,7,0,0,0,0,0,1,0,0,0,0,NA,26,2:00:52,18:15:59,1,1,18:30:14,22:45:22,2948,1552,58,27,81,79,83,76,80,69,72,79,84,8.8981417,40.7728263,1761.3,4.9,uuid:7906a9a4-0371-428e-b7dc-133ab9c1c008,2512142209,uuid:7906a9a4-0371-428e-b7dc-133ab9c1c008
96839,S0407170272,OROMIA,Harargee Lixaa,xulloo,burqaa raachaa,Rural,"12/17/2025, 7:04:38 PM","12/17/2025, 1:16:57 PM","12/17/2025, 7:39:23 PM",12/17/2025,260fdb5d4cc800d3,0,NA,0,0,1,1,0,0,1,1,0,8,0,0,4 5,0,0,0,1,1,0,0,0,0,0,NA,4 5,0,0,0,1,1,0,0,0,0,0,NA,7,0,0,0,0,0,1,0,0,0,0,NA,11,2:00:50,18:15:51,1,0,NA,NA,926,520,15,11,86.5,86,87,78,82,82,91,88,89,9.2058621,41.1741972,1810.2,3.9,uuid:d49c1a23-f425-4546-995d-2bf3604e151d,2512142209,uuid:d49c1a23-f425-4546-995d-2bf3604e151d
97089,S0408050422,OROMIA,Horroo Guduru Wallaggaa,coomman guduruu,aabboo addis,Rural,"12/8/2025, 9:07:08 PM","12/6/2025, 11:39:39 AM","12/8/2025, 8:05:57 PM",12/6/2025,5709a80a20846068,0,NA,0,0,1,1,0,0,1,1,0,22,0,0,3 4,0,0,1,1,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,22,2:00:05,6:35:28,1,1,6:40:15,11:30:16,1042,546,23,13,71.39,68,74.79,59,59,56,57,67,77,9.4029182,37.3125823,2339,4.6,uuid:6e733ace-c43e-4c97-a432-fbce4db90abc,2512030705,uuid:6e733ace-c43e-4c97-a432-fbce4db90abc
97248,S0408070042,OROMIA,Horroo Guduru Wallaggaa,horro,akkaajjii sabbat,Rural,"12/6/2025, 8:12:53 PM","12/5/2025, 10:17:49 AM","12/6/2025, 8:11:40 PM",12/5/2025,5709a80a20846068,0,NA,0,0,1,0,0,0,1,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,12,2:30:14,10:23:19,1,0,NA,NA,310,152,28,17,78.5,77,80,70,76,74,79,87,89,9.6078481,37.1191696,2470,4.6,uuid:a74d885c-9703-4379-b8ea-0124113096e9,2512030705,uuid:a74d885c-9703-4379-b8ea-0124113096e9
97554,S0409010332,OROMIA,Iluu Abbaa Booraa,aallee,qilxuu diimtuu,Rural,"12/22/2025, 9:48:46 PM","12/11/2025, 9:54:45 AM","12/22/2025, 8:24:08 PM",12/11/2025,5709a80a20846068,0,NA,0,1,1,1,0,0,1,0,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,17,3:00:22,7:15:37,1,0,NA,NA,326,179,18,7,62,57,67,60,62,56,60,69,70,8.1839047,35.5661794,1718,4.9,uuid:be82cc6e-2251-4d88-b760-b86500d5d5cb,2512030705,uuid:be82cc6e-2251-4d88-b760-b86500d5d5cb
97744,S0409040312,OROMIA,Iluu Abbaa Booraa,bachoo,fugoo saardoo sad.1ffaa,Rural,"12/17/2025, 7:35:59 PM","12/16/2025, 9:56:19 AM","12/17/2025, 7:35:07 PM",12/16/2025,5709a80a20846068,0,NA,1,0,1,1,0,0,1,1,1,11,1,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,15,2:40:48,7:00:58,1,0,NA,NA,695,342,15,8,54.5,59,50,59,60,55,53,60,58,8.1705459,35.6359948,1756,4.6,uuid:85c08f7b-46c9-442d-beee-291498dff810,2512142209,uuid:85c08f7b-46c9-442d-beee-291498dff810
97879,S0409060232,OROMIA,Iluu Abbaa Booraa,buree,daggooyyee,Urban,"12/21/2025, 2:14:56 PM","12/13/2025, 10:45:44 AM","12/20/2025, 9:30:41 PM",12/13/2025,5709a80a20846068,0,NA,1,0,1,1,0,0,1,1,1,12,1,1,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,28,2:30:54,6:45:54,1,0,NA,NA,808,413,32,16,67,65,69,53,55,51,52,69,70,8.2913133,35.1008248,1701,4.8,uuid:a173efbf-9135-4a7a-90b5-1d6f7b62acc5,2512030705,uuid:a173efbf-9135-4a7a-90b5-1d6f7b62acc5
98097,S0409080072,OROMIA,Iluu Abbaa Booraa,diduu,baabbuu boondisaa,Rural,"12/15/2025, 9:38:58 PM","12/15/2025, 1:10:01 PM","12/15/2025, 9:38:29 PM",12/15/2025,5709a80a20846068,0,NA,0,0,1,1,0,0,1,1,1,14,0,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,16,3:00:34,7:20:35,1,0,NA,NA,266,140,11,7,58,57,59,59,58,62,60,60,61,7.8415355,35.5704064,1754,4.8,uuid:80ae5ff7-7ff6-493a-96ef-24b905c99c25,2512142209,uuid:80ae5ff7-7ff6-493a-96ef-24b905c99c25
98105,S0409080152,OROMIA,Iluu Abbaa Booraa,diduu,gordommoo,Rural,"12/19/2025, 2:45:46 PM","12/12/2025, 11:56:09 AM","12/19/2025, 2:46:36 PM",12/12/2025,5709a80a20846068,0,NA,1,0,1,1,0,0,1,1,1,18,1,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,26,2:30:48,6:45:12,1,0,NA,NA,904,460,34,18,57,56,58,51,50,58,59,68,70,7.9674444,35.5364171,1771,4.6,uuid:cdfc16b1-e446-41c4-9941-445482b7a5cc,2512030705,uuid:cdfc16b1-e446-41c4-9941-445482b7a5cc
98472,S0409140282,OROMIA,Iluu Abbaa Booraa,yaayyoo,wixatee,Rural,"12/13/2025, 5:24:40 PM","12/10/2025, 10:30:30 AM","12/13/2025, 2:46:04 PM",12/10/2025,5709a80a20846068,0,NA,1,1,1,1,0,0,1,1,0,11,1,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,19,8:10:32,7:30:41,1,0,NA,NA,773,394,22,7,70,77,63,55,54,53,54,62,59,8.373219,35.9175842,1602,4.6,uuid:b32f8b4f-f004-49a4-ac4b-faa0b802969e,2512030705,uuid:b32f8b4f-f004-49a4-ac4b-faa0b802969e
98505,S0410010162,OROMIA,B/M/Aggaaroo,b/m/aggaaroo,aggaroo lakk 2 sad.1 ffaa,Urban,"12/17/2025, 8:10:36 PM","12/17/2025, 8:54:28 AM","12/17/2025, 9:01:01 AM",12/17/2025,48ec0b9287834309,1,Botor xolay,1,1,1,1,0,0,1,1,1,20,1,1,97,0,0,0,0,0,0,0,0,0,1,There is hired individuals,97,0,0,0,0,0,0,0,0,0,1,There is hired individual,97,0,0,0,0,0,0,0,0,0,1,There is hired individual,24,2:00:52,6:15:58,1,1,6:30:13,16:45:24,2030,1006,49,13,73,72,74,78,80,61,58,78,80,7.860977,36.5875033,1669.3,4.9,uuid:580c2777-e741-496a-808a-5741795fcde1,2512142209,uuid:580c2777-e741-496a-808a-5741795fcde1
98841,S0410040272,OROMIA,Jimma,deedoo,soollaa,Rural,"12/5/2025, 7:20:04 PM","12/5/2025, 10:09:41 AM","12/5/2025, 7:19:55 PM",12/5/2025,48ec0b9287834309,0,NA,0,1,1,1,0,0,1,1,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,17,8:15:26,0:30:25,0,1,0:45:23,5:00:22,713,360,6,2,65,63,67,68,70,60,61,72,73,7.4057617,36.8180083,2481.3,4.3,uuid:40e5f380-ace2-4440-9579-d2d167960611,2512030705,uuid:40e5f380-ace2-4440-9579-d2d167960611
98827,S0410040652,OROMIA,Jimma,deedoo,offolee daawee,Rural,"12/4/2025, 7:00:13 PM","12/4/2025, 10:18:03 AM","12/4/2025, 7:00:08 PM",12/4/2025,48ec0b9287834309,0,NA,0,0,1,1,0,0,1,1,1,5,0,1,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,11,8:30:46,12:45:18,1,1,12:50:50,17:05:14,731,364,15,5,999,999,999,999,999,999,999,999,999,7.5536902,36.8759328,1896.1,4.3,uuid:f4790f2c-f781-46fe-81ca-b9a5b192a238,2512030705,uuid:f4790f2c-f781-46fe-81ca-b9a5b192a238
